patient_concern,diagnosis
Headache with sensitivity to light and loud sound slightly improving,Migraine
Burning sensation while urinating with lower abdominal pain,UTI
Dry cough and mild fever not improving for a week for two days,Flu
Severe cold with runny nose and sneezing continuously,Common Cold
Severe cold with runny nose and sneezing continuously,Common Cold
Headache with sensitivity to light and loud sound,Migraine
"Sore throat, difficulty swallowing and mild temperature slightly improving",Throat Infection
Sharp chest pain and heavy breathing when walking for two days,Cardiac Issue
Sharp chest pain and heavy breathing when walking,Cardiac Issue
"Stomach pain after eating, nausea and vomiting",Food Poisoning
Sharp chest pain and heavy breathing when walking getting worse,Cardiac Issue
Headache with sensitivity to light and loud sound from last night,Migraine
Chest tightness with wheezing and breathing difficulty,Asthma
Headache with sensitivity to light and loud sound from last night,Migraine
Dry cough and mild fever not improving for a week for two days,Flu
Sharp chest pain and heavy breathing when walking since morning,Cardiac Issue
Frequent urination and extreme thirst throughout the day getting worse,Diabetes
Sharp chest pain and heavy breathing when walking slightly improving,Cardiac Issue
I have a high fever and body ache since two days slightly improving,Infection
Dry cough and mild fever not improving for a week,Flu
Burning sensation while urinating with lower abdominal pain for two days,UTI
"Sore throat, difficulty swallowing and mild temperature slightly improving",Throat Infection
Sudden dizziness and blurred vision occasionally getting worse,Blood Pressure Issue
I have a high fever and body ache since two days for two days,Infection
Burning sensation while urinating with lower abdominal pain getting worse,UTI
I have a high fever and body ache since two days from last night,Infection
"Joint pain, fatigue and slight swelling near knees since morning",Arthritis
Dry cough and mild fever not improving for a week for two days,Flu
Burning sensation while urinating with lower abdominal pain,UTI
"Joint pain, fatigue and slight swelling near knees",Arthritis
Sudden high fever with chills and sweating since morning,Malaria
Dry cough and mild fever not improving for a week from last night,Flu
Sudden dizziness and blurred vision occasionally from last night,Blood Pressure Issue
"Joint pain, fatigue and slight swelling near knees",Arthritis
Sudden high fever with chills and sweating getting worse,Malaria
Burning sensation while urinating with lower abdominal pain,UTI
Severe cold with runny nose and sneezing continuously,Common Cold
Headache with sensitivity to light and loud sound since morning,Migraine
Frequent urination and extreme thirst throughout the day slightly improving,Diabetes
Heavy stomach bloating and indigestion frequently,Acidity
Heavy stomach bloating and indigestion frequently slightly improving,Acidity
"Joint pain, fatigue and slight swelling near knees from last night",Arthritis
"Stomach pain after eating, nausea and vomiting since morning",Food Poisoning
Sharp chest pain and heavy breathing when walking slightly improving,Cardiac Issue
Sharp chest pain and heavy breathing when walking for two days,Cardiac Issue
Severe cold with runny nose and sneezing continuously from last night,Common Cold
Burning sensation while urinating with lower abdominal pain,UTI
Chest tightness with wheezing and breathing difficulty getting worse,Asthma
"Sore throat, difficulty swallowing and mild temperature from last night",Throat Infection
I have a high fever and body ache since two days,Infection
Sharp chest pain and heavy breathing when walking slightly improving,Cardiac Issue
Heavy stomach bloating and indigestion frequently,Acidity
"Sore throat, difficulty swallowing and mild temperature getting worse",Throat Infection
Frequent urination and extreme thirst throughout the day,Diabetes
"Joint pain, fatigue and slight swelling near knees for two days",Arthritis
"Joint pain, fatigue and slight swelling near knees since morning",Arthritis
"Stomach pain after eating, nausea and vomiting for two days",Food Poisoning
Itchy skin rash and redness all over my body slightly improving,Allergy
"Joint pain, fatigue and slight swelling near knees slightly improving",Arthritis
Severe cold with runny nose and sneezing continuously from last night,Common Cold
"Stomach pain after eating, nausea and vomiting slightly improving",Food Poisoning
Severe cold with runny nose and sneezing continuously getting worse,Common Cold
Sharp chest pain and heavy breathing when walking from last night,Cardiac Issue
Headache with sensitivity to light and loud sound since morning,Migraine
Sharp chest pain and heavy breathing when walking getting worse,Cardiac Issue
Sudden high fever with chills and sweating from last night,Malaria
Frequent urination and extreme thirst throughout the day slightly improving,Diabetes
Sudden dizziness and blurred vision occasionally for two days,Blood Pressure Issue
Itchy skin rash and redness all over my body getting worse,Allergy
I have a high fever and body ache since two days from last night,Infection
Itchy skin rash and redness all over my body slightly improving,Allergy
Dry cough and mild fever not improving for a week since morning,Flu
"Stomach pain after eating, nausea and vomiting since morning",Food Poisoning
"Joint pain, fatigue and slight swelling near knees",Arthritis
Severe cold with runny nose and sneezing continuously getting worse,Common Cold
Headache with sensitivity to light and loud sound,Migraine
Sudden dizziness and blurred vision occasionally,Blood Pressure Issue
Severe cold with runny nose and sneezing continuously from last night,Common Cold
Burning sensation while urinating with lower abdominal pain for two days,UTI
Frequent urination and extreme thirst throughout the day since morning,Diabetes
Itchy skin rash and redness all over my body getting worse,Allergy
Sharp chest pain and heavy breathing when walking for two days,Cardiac Issue
I have a high fever and body ache since two days,Infection
Sudden dizziness and blurred vision occasionally for two days,Blood Pressure Issue
Sudden dizziness and blurred vision occasionally for two days,Blood Pressure Issue
Dry cough and mild fever not improving for a week,Flu
Severe cold with runny nose and sneezing continuously for two days,Common Cold
Dry cough and mild fever not improving for a week,Flu
"Sore throat, difficulty swallowing and mild temperature slightly improving",Throat Infection
Itchy skin rash and redness all over my body for two days,Allergy
Headache with sensitivity to light and loud sound since morning,Migraine
Chest tightness with wheezing and breathing difficulty for two days,Asthma
Sudden high fever with chills and sweating getting worse,Malaria
I have a high fever and body ache since two days getting worse,Infection
Chest tightness with wheezing and breathing difficulty from last night,Asthma
Burning sensation while urinating with lower abdominal pain slightly improving,UTI
"Sore throat, difficulty swallowing and mild temperature for two days",Throat Infection
"Joint pain, fatigue and slight swelling near knees since morning",Arthritis
I have a high fever and body ache since two days for two days,Infection
Heavy stomach bloating and indigestion frequently,Acidity
Headache with sensitivity to light and loud sound slightly improving,Migraine
Heavy stomach bloating and indigestion frequently slightly improving,Acidity
Heavy stomach bloating and indigestion frequently since morning,Acidity
Sudden dizziness and blurred vision occasionally slightly improving,Blood Pressure Issue
Headache with sensitivity to light and loud sound slightly improving,Migraine
Burning sensation while urinating with lower abdominal pain slightly improving,UTI
"Joint pain, fatigue and slight swelling near knees since morning",Arthritis
Heavy stomach bloating and indigestion frequently getting worse,Acidity
Dry cough and mild fever not improving for a week getting worse,Flu
Itchy skin rash and redness all over my body from last night,Allergy
Sudden dizziness and blurred vision occasionally getting worse,Blood Pressure Issue
Sudden dizziness and blurred vision occasionally for two days,Blood Pressure Issue
"Sore throat, difficulty swallowing and mild temperature getting worse",Throat Infection
Chest tightness with wheezing and breathing difficulty slightly improving,Asthma
Sudden high fever with chills and sweating slightly improving,Malaria
